Child_ID,Exam,Goal,Grade,Title,Type,Format_refrence,Section_name,Subject,Subject_tagged,Learnpath_name,Learnmap_id,Chapter
4126729,6th CBSE,CBSE,6,Basic Geometrical Ideas,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--geometry--basic geometrical ideas,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Geometry/Basic Geometrical Ideas,basic geometrical ideas
4126729,6th CBSE,CBSE,6,Understanding Elementary Shapes,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--geometry--understanding elementary shapes,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Geometry/Understanding Elementary Shapes,understanding elementary shapes
4126729,6th CBSE,CBSE,6,Mensuration,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--geometry--mensuration,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Geometry/Mensuration,mensuration
4126729,6th CBSE,CBSE,6,Symmetry,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--geometry--symmetry,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Geometry/Symmetry,symmetry
4126729,6th CBSE,CBSE,6,Practical Geometry,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--geometry--practical geometry,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Geometry/Practical Geometry,practical geometry
4126729,6th CBSE,CBSE,6,Data Handling,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--statistics--data handling,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Statistics/Data Handling,data handling
4126729,6th CBSE,CBSE,6,Fractions,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--fractions,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Fractions,fractions
4126729,6th CBSE,CBSE,6,Playing with Numbers,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--playing with numbers,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Playing with Numbers,playing with numbers
4126729,6th CBSE,CBSE,6,Ratio and proportion,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--ratio and proportion,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Ratio and proportion,ratio and proportion
4126729,6th CBSE,CBSE,6,Knowing Our Numbers,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--knowing our numbers,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Knowing Our Numbers,knowing our numbers
