Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--kinetic theory,molecular nature of matter,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--kinetic theory--molecular nature of matter,15.0,122.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,hot and cold,5ec5867a0c88fe5860961943,cbse--7th cbse--science--physics--heat--hot and cold,3.0,16.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,temperature and its measurements,5ec5867a0c88fe5860961943,cbse--7th cbse--science--physics--heat--temperature and its measurements,5.0,17.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,work,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--work and energy--work,4.0,56.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,temperature and measurement of temperature,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--thermal properties of matter--temperature and measurement of temperature,10.0,99.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,specific heat capacity and molar heat capacity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--thermal properties of matter--specific heat capacity and molar heat capacity,4.0,102.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,general terms in thermodynamics,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics--general terms in thermodynamics,6.0,110.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,thermal equilibrium,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics--thermal equilibrium,3.0,111.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics,reversible and irreversible processes,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--heat and thermodynamics--thermodynamics--reversible and irreversible processes,2.0,119.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,physical quantities,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--units and measurements--physical quantities,3.0,5.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,"position, path length and displacement",5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--motion in a straight line--position, path length and displacement",8.0,16.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,acceleration,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--acceleration,10.0,19.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,kinematic equations for uniformly accelerated motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--kinematic equations for uniformly accelerated motion,16.0,20.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,relative velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--relative velocity,5.0,21.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
